CODPAR,PROVINCIA,CANTON,PARROQUIA,tipo_infraestructura
1290,SUCUMBIOS,LAGO AGRIO,PACAYACU,Sitio Contaminado
1290,SUCUMBIOS,LAGO AGRIO,PACAYACU,Sitio Contaminado
1290,SUCUMBIOS,LAGO AGRIO,PACAYACU,Sitio Contaminado
1290,SUCUMBIOS,LAGO AGRIO,PACAYACU,Sitio Contaminado
1290,SUCUMBIOS,LAGO AGRIO,PACAYACU,Sitio Contaminado
1290,SUCUMBIOS,LAGO AGRIO,PACAYACU,Sitio Contaminado
1290,SUCUMBIOS,LAGO AGRIO,PACAYACU,Sitio Contaminado
1290,SUCUMBIOS,LAGO AGRIO,PACAYACU,Sitio Contaminado
1290,SUCUMBIOS,LAGO AGRIO,PACAYACU,Sitio Contaminado
1290,SUCUMBIOS,LAGO AGRIO,PACAYACU,Sitio Contaminado
1290,SUCUMBIOS,LAGO AGRIO,PACAYACU,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
2175,SUCUMBIOS,SHUSHUFINDI,LIMONCOCHA,Sitio Contaminado
2175,SUCUMBIOS,SHUSHUFINDI,LIMONCOCHA,Sitio Contaminado
2175,SUCUMBIOS,SHUSHUFINDI,LIMONCOCHA,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
2175,SUCUMBIOS,SHUSHUFINDI,LIMONCOCHA,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
2175,SUCUMBIOS,SHUSHUFINDI,LIMONCOCHA,Sitio Contaminado
2175,SUCUMBIOS,SHUSHUFINDI,LIMONCOCHA,Sitio Contaminado
2175,SUCUMBIOS,SHUSHUFINDI,LIMONCOCHA,Sitio Contaminado
2175,SUCUMBIOS,SHUSHUFINDI,LIMONCOCHA,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
6140,SUCUMBIOS,SHUSHUFINDI,SHUSHUFINDI CENTRAL,Sitio Contaminado
2175,SUCUMBIOS,SHUSHUFINDI,LIMONCOCHA,Sitio Contaminado
2175,SUCUMBIOS,SHUSHUFINDI,LIMONCOCHA,Sitio Contaminado
2175,SUCUMBIOS,SHUSHUFINDI,LIMONCOCHA,Sitio Contaminado
2175,SUCUMBIOS,SHUSHUFINDI,LIMONCOCHA,Sitio Contaminado
2175,SUCUMBIOS,SHUSHUFINDI,LIMONCOCHA,Sitio Contaminado
