codigo_dpa,nombre_parroquia,nombre_canton,nombre_provincia,centroide_lon,centroide_lat,area_km2
2150,LA VICTORIA,PUJILI,COTOPAXI,-78.69941431334561,-0.911795230309248,18.65
2865,PILALO,PUJILI,COTOPAXI,-79.00016877973256,-0.9948661545747796,205.94
4015,TINGO,PUJILI,COTOPAXI,-79.09634032762801,-0.9251824666133129,192.69
4365,ZUMBAHUA,PUJILI,COTOPAXI,-78.89614262448025,-0.9579107565372333,208.81
0135,ANTONIO J. HOLGUIN,SALCEDO,COTOPAXI,-78.60015652420778,-1.0970804407603745,7.27
0745,CUSUBAMBA,SALCEDO,COTOPAXI,-78.74114758393213,-1.0964373083101953,161.76
2475,MULALILLO,SALCEDO,COTOPAXI,-78.63877262511657,-1.1046479160554996,41.28
2490,MULLIQUINDIL,SALCEDO,COTOPAXI,-78.53643333747364,-1.0129604608405296,48.56
2760,PANZALEO,SALCEDO,COTOPAXI,-78.58316537239763,-1.0912018718646461,16.46
0465,CANCHAGUA,SAQUISILI,COTOPAXI,-78.70801276212296,-0.7983057303634187,25.42
0830,CHANTILIN,SAQUISILI,COTOPAXI,-78.64820376922057,-0.8511540044804861,4.71
0990,COCHAPAMBA,SAQUISILI,COTOPAXI,-78.77242721962195,-0.828753382822958,84.93
0960,CHUGCHILAN,SIGCHOS,COTOPAXI,-78.98234664064975,-0.8307820675449447,248.97
1735,ISINLIVI,SIGCHOS,COTOPAXI,-78.85484121647337,-0.7827382568546677,84.81
2115,LAS PAMPAS,SIGCHOS,COTOPAXI,-78.96947887384057,-0.47106717756306155,131.93
0815,PALO QUEMADO,SIGCHOS,COTOPAXI,-78.90626891816949,-0.4296855737515506,116.44
0020,ACHUPALLAS,ALAUSI,CHIMBORAZO,-78.66131777598005,-2.3017988840648127,580.99
1465,GUASUNTOS,ALAUSI,CHIMBORAZO,-78.78355239499051,-2.225749860741768,46.75
1660,HUIGRA,ALAUSI,CHIMBORAZO,-79.00495307003781,-2.2814814766342724,129.55
2485,MULTITUD,ALAUSI,CHIMBORAZO,-78.98749369586848,-2.1429718927293266,102.88
2905,PISTISHI,ALAUSI,CHIMBORAZO,-78.88021369201722,-2.2494313093569964,10.94
3025,PUMALLACTA,ALAUSI,CHIMBORAZO,-78.80669114295584,-2.2774489996469645,20.64
3820,SEVILLA,ALAUSI,CHIMBORAZO,-78.82518204946827,-2.296199624527533,20.84
3845,SIBAMBE,ALAUSI,CHIMBORAZO,-78.9146041454165,-2.191166850443247,142.03
4030,TIXAN,ALAUSI,CHIMBORAZO,-78.75819721573903,-2.158078129143444,180.91
0500,CANI,COLTA,CHIMBORAZO,-78.95753494407838,-1.792472768655255,110.46
0610,COLUMBE,COLTA,CHIMBORAZO,-78.77431378158495,-1.862693568647965,167.44
1865,JUAN DE VELASCO / PONGOR,COLTA,CHIMBORAZO,-78.91246219110106,-1.8616409310650082,266.05
