codigo_dpa,nombre_provincia,nombre_canton,nombre_parroquia,centroide_lon,centroide_lat,area_km2,poblacion_total,poblacion_afro,pct_poblacion_afro,num_establecimientos,densidad_establecimientos_km2,establecimientos_por_10k_hab,num_infraestructura_petrolera,num_pozos,num_sitios_contaminados,tiene_petroleo,densidad_petroleo_km2
3305,CAÑAR,CAÑAR,SAN ANTONIO,-79.23325642771702,-2.598004044575785,412.8,,,,3,0.0073,,0,0,0,0,0.0
4345,CAÑAR,CAÑAR,ZHUD,-78.98619646318335,-2.449755386859097,83.9,,,,1,0.0119,,0,0,0,0,0.0
1775,CAÑAR,CAÑAR,VENTURA,-79.12998414604861,-2.282414125615855,68.04,,,,2,0.0294,,0,0,0,0,0.0
1895,CAÑAR,CAÑAR,DUCUR,-79.18631013229931,-2.469488674110196,100.15,,,,3,0.03,,0,0,0,0,0.0
2365,CAÑAR,LA TRONCAL,MANUEL J. CALLE,-79.39255616351917,-2.388995422248124,60.64,4732.0,34.0,0.72,1,0.0165,2.11,0,0,0,0,0.0
2745,CAÑAR,LA TRONCAL,PANCHO NEGRO,-79.4141481679364,-2.4722570782567996,150.15,10866.0,152.0,1.4,3,0.02,2.76,0,0,0,0,0.0
3875,CAÑAR,DELEG,SOLANO,-78.9312635475412,-2.811507716801049,16.89,1773.0,8.0,0.45,1,0.0592,5.64,0,0,0,0,0.0
35,COTOPAXI,LATACUNGA,ALAQUEZ,-78.49865021511098,-0.8505016487226249,144.18,7958.0,22.0,0.28,0,0.0,0.0,0,0,0,0,0.0
315,COTOPAXI,LATACUNGA,BELISARIO QUEVEDO,-78.56924756457684,-0.977800935511937,37.93,7301.0,10.0,0.14,4,0.1055,5.48,0,0,0,0,0.0
1485,COTOPAXI,LATACUNGA,GUAYTACAMA,-78.64026088348264,-0.8298726170177007,26.66,15158.0,826.0,5.45,0,0.0,0.0,0,0,0,0,0.0
1905,COTOPAXI,LATACUNGA,JOSEGUANGO BAJO,-78.60260921084988,-0.8226154118380968,18.41,2469.0,6.0,0.24,1,0.0543,4.05,0,0,0,0,0.0
2480,COTOPAXI,LATACUNGA,MULALO,-78.49415942695333,-0.720424336117327,509.42,9101.0,20.0,0.22,3,0.0059,3.3,0,0,0,0,0.0
2620,COTOPAXI,LATACUNGA,11 DE NOVIEMBRE,-78.66856648358055,-0.9178044403265112,10.41,,,,1,0.0961,,0,0,0,0,0.0
2920,COTOPAXI,LATACUNGA,POALO,-78.73286781466976,-0.8866086265997234,76.12,4960.0,0.0,0.0,1,0.0131,2.02,0,0,0,0,0.0
3530,COTOPAXI,LATACUNGA,SAN JUAN DE PASTOCALLE,-78.63626083591548,-0.6808854867631567,139.67,14884.0,20.0,0.13,2,0.0143,1.34,0,0,0,0,0.0
3965,COTOPAXI,LATACUNGA,TANICUCHI,-78.64583085961884,-0.7644534199864759,53.31,15509.0,38.0,0.25,4,0.075,2.58,0,0,0,0,0.0
4035,COTOPAXI,LATACUNGA,TOACAZO,-78.75408961470181,-0.722390642355732,213.06,,,,0,0.0,,0,0,0,0,0.0
1500,COTOPAXI,LA MANA,GUASAGANDA,-79.10384757023986,-0.7889045602580091,248.29,3866.0,0.0,0.0,2,0.0081,5.17,0,0,0,0,0.0
2965,COTOPAXI,LA MANA,PUCAYACO,-79.08098712771105,-0.6648404429007118,181.43,,,,0,0.0,,0,0,0,0,0.0
2460,COTOPAXI,PANGUA,MORASPUNGO,-79.23009798162882,-1.086920191820233,406.24,13884.0,10.0,0.07,5,0.0123,3.6,0,0,0,0,0.0
2890,COTOPAXI,PANGUA,PINLLOPATA,-79.00085273918624,-1.14734391015494,32.52,692.0,0.0,0.0,2,0.0615,28.9,0,0,0,0,0.0
3155,COTOPAXI,PANGUA,RAMON CAMPAÑA,-79.0909641838045,-1.073536092194283,118.22,1762.0,0.0,0.0,1,0.0085,5.68,0,0,0,0,0.0
125,COTOPAXI,PUJILI,ANGAMARCA,-78.90430211982714,-1.1180102267550844,282.09,3802.0,4.0,0.11,2,0.0071,5.26,0,0,0,0,0.0
1430,COTOPAXI,PUJILI,GUANGAJE,-78.84005417211823,-0.9004995050200459,125.93,4113.0,1.0,0.02,2,0.0159,4.86,0,0,0,0,0.0
2150,COTOPAXI,PUJILI,LA VICTORIA,-78.69941431334561,-0.911795230309248,18.65,3561.0,1.0,0.03,2,0.1072,5.62,0,0,0,0,0.0
2865,COTOPAXI,PUJILI,PILALO,-79.00016877973256,-0.9948661545747796,205.94,1916.0,0.0,0.0,1,0.0049,5.22,0,0,0,0,0.0
4015,COTOPAXI,PUJILI,TINGO,-79.09634032762801,-0.9251824666133128,192.69,4026.0,12.0,0.3,2,0.0104,4.97,0,0,0,0,0.0
4365,COTOPAXI,PUJILI,ZUMBAHUA,-78.89614262448025,-0.9579107565372332,208.81,6948.0,4.0,0.06,2,0.0096,2.88,0,0,0,0,0.0
135,COTOPAXI,SALCEDO,ANTONIO J. HOLGUIN,-78.60015652420778,-1.0970804407603745,7.27,3431.0,7.0,0.2,1,0.1376,2.91,0,0,0,0,0.0
745,COTOPAXI,SALCEDO,CUSUBAMBA,-78.74114758393213,-1.0964373083101953,161.76,5949.0,9.0,0.15,5,0.0309,8.4,0,0,0,0,0.0
2475,COTOPAXI,SALCEDO,MULALILLO,-78.63877262511657,-1.1046479160554996,41.28,7254.0,10.0,0.14,3,0.0727,4.14,0,0,0,0,0.0
2490,COTOPAXI,SALCEDO,MULLIQUINDIL,-78.53643333747364,-1.0129604608405296,48.56,7632.0,10.0,0.13,3,0.0618,3.93,0,0,0,0,0.0
2760,COTOPAXI,SALCEDO,PANZALEO,-78.58316537239763,-1.091201871864646,16.46,,,,0,0.0,,0,0,0,0,0.0
465,COTOPAXI,SAQUISILI,CANCHAGUA,-78.70801276212296,-0.7983057303634187,25.42,3510.0,1.0,0.03,1,0.0393,2.85,0,0,0,0,0.0
830,COTOPAXI,SAQUISILI,CHANTILIN,-78.64820376922057,-0.8511540044804861,4.71,2129.0,3.0,0.14,0,0.0,0.0,0,0,0,0,0.0
990,COTOPAXI,SAQUISILI,COCHAPAMBA,-78.77242721962195,-0.828753382822958,84.93,2554.0,0.0,0.0,3,0.0353,11.75,0,0,0,0,0.0
960,COTOPAXI,SIGCHOS,CHUGCHILAN,-78.98234664064975,-0.8307820675449447,248.97,,,,0,0.0,,0,0,0,0,0.0
1735,COTOPAXI,SIGCHOS,ISINLIVI,-78.85484121647337,-0.7827382568546677,84.81,1945.0,2.0,0.1,2,0.0236,10.28,0,0,0,0,0.0
2115,COTOPAXI,SIGCHOS,LAS PAMPAS,-78.96947887384057,-0.4710671775630615,131.93,1850.0,0.0,0.0,1,0.0076,5.41,0,0,0,0,0.0
815,COTOPAXI,SIGCHOS,PALO QUEMADO,-78.90626891816949,-0.4296855737515506,116.44,1030.0,0.0,0.0,2,0.0172,19.42,0,0,0,0,0.0
20,CHIMBORAZO,ALAUSI,ACHUPALLAS,-78.66131777598005,-2.3017988840648127,580.99,8117.0,2.0,0.02,3,0.0052,3.7,0,0,0,0,0.0
1465,CHIMBORAZO,ALAUSI,GUASUNTOS,-78.78355239499051,-2.225749860741768,46.75,1820.0,0.0,0.0,2,0.0428,10.99,0,0,0,0,0.0
1660,CHIMBORAZO,ALAUSI,HUIGRA,-79.00495307003781,-2.2814814766342724,129.55,1748.0,0.0,0.0,1,0.0077,5.72,0,0,0,0,0.0
2485,CHIMBORAZO,ALAUSI,MULTITUD,-78.98749369586848,-2.142971892729326,102.88,1867.0,2.0,0.11,2,0.0194,10.71,0,0,0,0,0.0
2905,CHIMBORAZO,ALAUSI,PISTISHI,-78.88021369201722,-2.2494313093569964,10.94,257.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0
3025,CHIMBORAZO,ALAUSI,PUMALLACTA,-78.80669114295584,-2.2774489996469645,20.64,588.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0
3820,CHIMBORAZO,ALAUSI,SEVILLA,-78.82518204946827,-2.296199624527533,20.84,630.0,0.0,0.0,1,0.048,15.87,0,0,0,0,0.0
3845,CHIMBORAZO,ALAUSI,SIBAMBE,-78.9146041454165,-2.191166850443247,142.03,3412.0,0.0,0.0,2,0.0141,5.86,0,0,0,0,0.0
4030,CHIMBORAZO,ALAUSI,TIXAN,-78.75819721573903,-2.158078129143444,180.91,8533.0,7.0,0.08,3,0.0166,3.52,0,0,0,0,0.0
500,CHIMBORAZO,COLTA,CANI,-78.95753494407838,-1.792472768655255,110.46,711.0,0.0,0.0,1,0.0091,14.06,0,0,0,0,0.0
610,CHIMBORAZO,COLTA,COLUMBE,-78.77431378158495,-1.862693568647965,167.44,9132.0,15.0,0.16,7,0.0418,7.67,0,0,0,0,0.0
1865,CHIMBORAZO,COLTA,JUAN DE VELASCO / PONGOR,-78.91246219110106,-1.861640931065008,266.05,3045.0,2.0,0.07,1,0.0038,3.28,0,0,0,0,0.0
4430,CHIMBORAZO,COLTA,SANTIAGO DE QUITO,-78.72928847653735,-1.7720910303076596,55.73,3188.0,5.0,0.16,4,0.0718,12.55,0,0,0,0,0.0
515,CHIMBORAZO,CHUNCHI,CAPZOL,-78.9301487388464,-2.3093912071149427,25.28,684.0,0.0,0.0,1,0.0396,14.62,0,0,0,0,0.0
615,CHIMBORAZO,CHUNCHI,COMPUD,-78.92561765535956,-2.358329868380814,28.85,724.0,2.0,0.28,2,0.0693,27.62,0,0,0,0,0.0
1370,CHIMBORAZO,CHUNCHI,GONZOL,-78.85137588691416,-2.267506643985646,24.93,1083.0,0.0,0.0,1,0.0401,9.23,0,0,0,0,0.0
2260,CHIMBORAZO,CHUNCHI,LLAGOS,-78.97046737688412,-2.364889859621855,66.56,1316.0,0.0,0.0,2,0.03,15.2,0,0,0,0,0.0
555,CHIMBORAZO,GUAMOTE,CEBADAS,-78.54977609866164,-2.0477901628957342,566.55,6414.0,2.0,0.03,1,0.0018,1.56,0,0,0,0,0.0
2730,CHIMBORAZO,GUAMOTE,PALMIRA,-78.75444828761961,-2.079634310505059,241.59,9973.0,4.0,0.04,6,0.0248,6.02,0,0,0,0,0.0
1415,CHIMBORAZO,GUANO,GUANANDO,-78.52967889095352,-1.50311107721626,14.8,224.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0
1705,CHIMBORAZO,GUANO,ILAPO,-78.58176836272956,-1.5439145744848872,33.09,1156.0,1.0,0.09,2,0.0604,17.3,0,0,0,0,0.0
2080,CHIMBORAZO,GUANO,LA PROVIDENCIA,-78.54578129938103,-1.5704898506619815,10.18,659.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0
3295,CHIMBORAZO,GUANO,SAN ANDRES,-78.74838885700959,-1.517671716437024,164.01,13154.0,10.0,0.08,12,0.0732,9.12,0,0,0,0,0.0
3425,CHIMBORAZO,GUANO,SAN GERARDO / PAQUICAHUAN,-78.61443380554216,-1.6366547757018246,7.12,13154.0,10.0,0.08,12,1.6854,9.12,0,0,0,0,0.0
3450,CHIMBORAZO,GUANO,SAN ISIDRO DE PATULU,-78.67576572775637,-1.5420464841268746,77.45,13154.0,10.0,0.08,12,0.1549,9.12,0,0,0,0,0.0
45,CHIMBORAZO,GUANO,SAN JOSE DEL CHAZO,-78.55242294179102,-1.5275609731747728,14.54,13154.0,10.0,0.08,12,0.8253,9.12,0,0,0,0,0.0
40,CHIMBORAZO,GUANO,SANTA FE DE GALAN,-78.57435545728684,-1.497869493821604,29.16,1471.0,3.0,0.2,2,0.0686,13.6,0,0,0,0,0.0
410,CHIMBORAZO,GUANO,VALPARAISO,-78.60861330660256,-1.5517761059752049,21.2,274.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0
1110,CHIMBORAZO,PENIPE,EL ALTAR,-78.44242539934814,-1.5461010648347848,74.22,1294.0,6.0,0.46,0,0.0,0.0,0,0,0,0,0.0
2400,CHIMBORAZO,PENIPE,MATUS,-78.43427767844267,-1.5896432078482765,74.07,786.0,0.0,0.0,1,0.0135,12.72,0,0,0,0,0.0
2975,CHIMBORAZO,PENIPE,PUELA,-78.43857832628254,-1.5050735163196018,73.03,533.0,0.0,0.0,2,0.0274,37.52,0,0,0,0,0.0
3335,CHIMBORAZO,PENIPE,SAN ANTONIO DE BAYUSHIG,-78.51796060596962,-1.5489335103610749,3.87,1097.0,0.0,0.0,1,0.2584,9.12,0,0,0,0,0.0
925,CHIMBORAZO,PENIPE,LA CANDELARIA,-78.44432273224929,-1.640350094800256,89.2,389.0,0.0,0.0,1,0.0112,25.71,0,0,0,0,0.0
1325,CHIMBORAZO,PENIPE,BILBAO,-78.48698085182804,-1.4681675085350707,25.12,249.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0
255,EL ORO,MACHALA,EL RETIRO,-79.95992933111393,-3.3782086128289643,126.52,4538.0,43.0,0.95,1,0.0079,2.2,0,0,0,0,0.0
805,EL ORO,ARENILLAS,CHACRAS,-80.16422903347555,-3.540586209120681,97.49,1926.0,1.0,0.05,1,0.0103,5.19,0,0,0,0,0.0
