codigo_dpa,nombre_provincia,nombre_canton,nombre_parroquia
5580,MANABI,SUCRE,LEONIDAS PLAZA G.
6170,MANABI,TOSAGUA,TOSAGUA
6430,MANABI,PEDERNALES,PEDERNALES
6495,MANABI,OLMEDO,OLMEDO /PUCA
6575,MANABI,PUERTO LOPEZ,PUERTO LOPEZ
6750,MANABI,JAMA,JAMA
6755,MANABI,JARAMIJO,JARAMIJO
6785,MANABI,SAN VICENTE,SAN VICENTE
5845,MANABI,PORTOVIEJO,PICOAZA
6770,MANABI,PORTOVIEJO,18 DE OCTUBRE
5280,MANABI,PORTOVIEJO,12 DE MARZO
5795,MANABI,PORTOVIEJO,PORTOVIEJO
6775,MANABI,PORTOVIEJO,FRANCISCO PACHECO
6910,MANABI,PORTOVIEJO,SIMON BOLIVAR
5030,MANABI,PORTOVIEJO,ANDRES DE VERA
5265,MANABI,PORTOVIEJO,COLON
5250,MANABI,CHONE,CHONE
6055,MANABI,CHONE,SANTA RITA
6195,MANABI,EL CARMEN,4 DE DICIEMBRE
5300,MANABI,EL CARMEN,EL CARMEN
5480,MANABI,FLAVIO ALFARO,FLAVIO ALFARO
7465,MANABI,JIPIJAPA,DR. MIGUEL MORAN LUCIO
7475,MANABI,JIPIJAPA,SAN LORENZO DE JIPIJAPA
7470,MANABI,JIPIJAPA,MANUEL INOCENCIO PARRALES
5485,MANABI,JIPIJAPA,JIPIJAPA
5505,MANABI,JUNIN,JUNIN
5635,MANABI,MANTA,MANTA
6155,MANABI,MANTA,TARQUI
6745,MANABI,MANTA,ELOY ALFARO
5570,MANABI,MANTA,LOS ESTEROS
7500,MANABI,MONTECRISTI,GENERAL ELOY ALFARO DELGA
7495,MANABI,MONTECRISTI,LEONIDAS PROAÑO
7460,MANABI,MONTECRISTI,ANIBAL SAN ANDRES
7490,MANABI,MONTECRISTI,COLORADO
6725,MANABI,SANTA ANA,LODANA
6835,LOS RIOS,BABAHOYO,EL SALTO
6830,LOS RIOS,BABAHOYO,BARREIRO /SANTA RITA
5215,LOS RIOS,BABAHOYO,CLEMENTE BAQUERIZO
5085,LOS RIOS,BABA,BABA
5640,LOS RIOS,MONTALVO,MONTALVO /SABANETA
5800,LOS RIOS,PUEBLO VIEJO,PUEBLO VIEJO
6645,LOS RIOS,QUEVEDO,NICOLAS INFANTE DIAZ
6640,LOS RIOS,QUEVEDO,VENUS DEL RIO QUEVEDO
5855,LOS RIOS,QUEVEDO,QUEVEDO
6660,LOS RIOS,QUEVEDO,VIVA ALFARO
6655,LOS RIOS,QUEVEDO,SIETE DE OCTUBRE
6650,LOS RIOS,QUEVEDO,GUAYACAN
6690,LOS RIOS,QUEVEDO,24 DE MAYO
7480,LOS RIOS,VENTANAS,10 NOVIEMBRE
6235,LOS RIOS,VENTANAS,VENTANAS
6245,LOS RIOS,VINCES,VINCES
6330,LOS RIOS,PALENQUE,PALENQUE
6465,LOS RIOS,BUENA FE,SN JACINTO DE BUENA FE
6685,LOS RIOS,VALENCIA,VALENCIA
6695,LOS RIOS,MOCACHE,MOCACHE
6915,LOS RIOS,QUINSALOMA,QUINSALOMA
5285,LOS RIOS,BABAHOYO,DR. CAMILO PONCE E.
6150,GUAYAS,GUAYAQUIL,TARQUI
6545,GUAYAS,A. BAQUERIZO MORENO,A.BAQUERIZO M /JUJAN
5470,GUAYAS,BALAO,BALAO
