codigo_dpa,nombre_provincia,nombre_canton,nombre_parroquia
1755,STO DGO TSACHILAS,SANTO DOMINGO,LUZ DE AMERICA
1970,STO DGO TSACHILAS,SANTO DOMINGO,SAN JACINTO DEL BUA
305,STO DGO TSACHILAS,SANTO DOMINGO,VALLE HERMOSO
1990,STO DGO TSACHILAS,SANTO DOMINGO,EL ESFUERZO
2045,STO DGO TSACHILAS,SANTO DOMINGO,SANTA MARIA DEL TOACHI
4635,STO DGO TSACHILAS,LA CONCORDIA,MONTERREY
4640,STO DGO TSACHILAS,LA CONCORDIA,LA VILLEGAS
4645,STO DGO TSACHILAS,LA CONCORDIA,PLAN PILOTO
0,ISLA,ISLA,ISLA
1255,BOLIVAR,GUARANDA,FACUNDO VELA
1890,BOLIVAR,GUARANDA,JULIO E MORENO
3285,BOLIVAR,GUARANDA,SALINAS
3545,BOLIVAR,GUARANDA,SAN LORENZO
3670,BOLIVAR,GUARANDA,SAN SIMON
3710,BOLIVAR,GUARANDA,SANTA FE
3860,BOLIVAR,GUARANDA,SIMIATUG
795,BOLIVAR,GUARANDA,SAN LUIS DE PAMBIL
3500,BOLIVAR,CHILLANES,SAN JOSE DE TAMBO
170,BOLIVAR,CHIMBO,ASUNCION
2315,BOLIVAR,CHIMBO,MAGDALENA/CHAPACOTO
3655,BOLIVAR,CHIMBO,SAN SEBASTIAN
3995,BOLIVAR,CHIMBO,TELIMBELA
275,BOLIVAR,SAN MIGUEL,BALZAPAMBA
345,BOLIVAR,SAN MIGUEL,BILOVAN
4515,BOLIVAR,SAN MIGUEL,REGULO DE MORA
3595,BOLIVAR,SAN MIGUEL,SAN PABLO DE ATENAS
3775,BOLIVAR,SAN MIGUEL,SANTIAGO
3900,BOLIVAR,SAN MIGUEL,SAN VICENTE
6630,BOLIVAR,GUARANDA,GUANUJO
5035,BOLIVAR,GUARANDA,ANGEL POLIVIO CHAVEZ
5375,BOLIVAR,GUARANDA,GABRIEL I VEINTIMILLA
5975,BOLIVAR,CHIMBO,SAN JOSE DE CHIMBO
5350,BOLIVAR,ECHEANDIA,ECHEANDIA
6340,BOLIVAR,CALUMA,CALUMA / SAN ANTONIO/
6475,BOLIVAR,LAS NAVES,LAS MERCEDES
6470,BOLIVAR,LAS NAVES,LAS NAVES
